sampno,veh_id,veh_num,year,make,make_other,make_clean,model,model_other,model_clean,fuel_type,fuel_type_clean,vehicle_type,vehicle_type_clean,vehicle_status,how_acquired,acquired_year,acquired_month,annual_mileage,electric_miles,mpg,current_use,other_use,tnc_replacement,delivery_replacement,veh_home,personal_use,personal_miles,hv_replacement,fcev_fuel_cost
190577,190577.01,1,2017,FORD, ,FORD,,,,1,1.0,13,13, ,3,2019,2,12000, ,15,5, ,2,2,1,2, ,15, 
190577,190577.02,2,2014,CHEVROLET, ,CHEVROLET,,,,1,1.0,3,3, ,3,2018,2,12000, ,20,1, ,2,2,2, , ,20, 
190577,190577.03,3,2017,FORD, ,FORD,,,,8,6.0,2,2, ,3,2018,6,12000, ,20,1, ,2,2,2, , ,25, 
190577,190577.04,4,2014,CADILLAC, ,CADILLAC,,,,8,6.0,9,9, ,3,2019,3,12000, ,13,2, ,2,2,2, , ,20, 
190577,190577.05,5,2012,FORD, ,FORD,,,,1,1.0,13,13, ,3,2018,3,12000, ,17,2, ,2,2,2, , ,25, 
190582,190582.01,1,2009,CHEVROLET, ,CHEVROLET,,,,1,1.0,11,11, ,3,2009, ,3000, ,35,1, ,2,2,2, , ,20, 
190590,190590.01,1,2006,TOYOTA, ,TOYOTA,,,,1,1.0,12,12, ,3,2013, ,18000, ,17,5, ,2,2,2, , ,50, 
190589,190589.01,1,2018,BMW, ,BMW,,,,5,4.0,1,1, ,2,2018,3,12000, ,137,2, ,2,2,1,2, , , 
190596,190596.01,1,2015,INFINITI, ,INFINITI,,,,1,1.0,4,4, ,2,2015, ,15000, ,22,2, ,2,2,1,1,5,100, 
190596,190596.02,2,2019,BMW, ,BMW,,,,1,1.0,8,8, ,2,2019,3,25000, ,30,2, ,2,1,1,1,5,100, 
190596,190596.03,3,2014,CHEVROLET, ,CHEVROLET,,,,8,6.0,13,13, ,1,2014, ,30000, ,17,3, ,2,1,1,1,5,100, 
190596,190596.04,4,2018,LINCOLN, ,LINCOLN,,,,1,1.0,4,4, ,2,2018,7,30000, ,28,3, ,2,2,1,1,5,100, 
190596,190596.05,5,2016,CHEVROLET, ,CHEVROLET,,,,1,1.0,9,9, ,2,2016, ,30000, ,22,3, ,2,2,1,1,5,100, 
190592,190592.01,1,2015,TOYOTA, ,TOYOTA,,,,1,1.0,10,10, ,1,2014, ,10000, ,20,2, ,2,2,2, , ,35, 
190592,190592.02,2,1990,PLYMOUTH, ,PLYMOUTH,,,,1,1.0,10,10, ,5,1992, ,12000, ,18,1, ,2,2,2, , ,30, 
190677,190677.01,1,2001,FORD, ,FORD,,,,1,1.0,11,11, ,1,2002, ,10000, ,14,5, ,2,2,1,1,5,150, 
190678,190678.01,1,2016,GMC, ,GMC,,,,1,1.0,8,8, ,3,2018,4,15000, ,30,1, ,2,2,2, , ,400, 
190678,190678.02,2,2017,CHEVROLET, ,CHEVROLET,,,,1,1.0,8,8, ,3,2018,6,15000, ,25,1, ,1,2,2, , ,400, 
190680,190680.01,1,2007,JEEP, ,JEEP,,,,1,1.0,7,7, ,1,2007, ,8000, ,16,5, ,2,2,1,1,20,200, 
190686,190686.01,1,2017,GMC, ,GMC,,,,1,1.0,13,13, ,3,2017, ,20000, ,21,5, ,2,2,1,2, ,500, 
190685,190685.01,1,2016,SUBARU, ,SUBARU,,,,1,1.0,8,8, ,1,2016, ,36000, ,32,2, ,2,2,1,1,20,200, 
190583,190583.01,1,2019,CHEVROLET, ,CHEVROLET,,,,4,3.0,13,13, ,1,2019,1,50000, ,10,5, ,2,2,2, , ,1000, 
