sampno,vehno,year,make,model,fuel,veh_type,pev_miles_week,pev_miles_month,phev_percent,battery_miles,recharge_amount,home_charge,home_charge_type_1,home_charge_type_2,home_charge_type_3,home_charge_type_4,home_charge_type_5,home_charge_type_6,home_charge_type_7,home_charge_type_8,home_charge_type_8_x,home_charge_type_no_1,home_charge_type_no_2,home_charge_type_no_3,home_charge_type_no_4,home_charge_type_no_5,home_charge_type_no_6,home_charge_type_no_7,home_charge_type_no_8,home_charge_type_no_8_x,charging_tech_1_1,charging_tech_2_1,charging_tech_3_1,charging_tech_4_1,charging_tech_5_1,charging_tech_6_1,charging_tech_7_1,charging_tech_8_1,charging_tech_1_2,charging_tech_2_2,charging_tech_3_2,charging_tech_4_2,charging_tech_5_2,charging_tech_6_2,charging_tech_7_2,charging_tech_8_2,charging_tech_1_3,charging_tech_2_3,charging_tech_3_3,charging_tech_4_3,charging_tech_5_3,charging_tech_6_3,charging_tech_7_3,charging_tech_8_3,primary_charge,electric_expense,electric_expense_7_x,upgrade_cost,weekday_charging_1,weekday_charging_2,weekday_charging_3,weekday_charging_4,weekend_charging_1,weekend_charging_2,weekend_charging_3,weekend_charging_4,variable_rates,variable_rates_usage,ev_rate,charge_cost,determine_cost,home_importance,park_work_school,recharge_stations_1,recharge_stations_2,recharge_stations_3,recharge_stations_4,recharge_stations_5,recharge_stations_6,charging_freq_1,charging_freq_2,charging_freq_3,charging_freq_4,charging_freq_5,charging_freq_6,work_school_importance_1,work_school_importance_2,public_availability,public_distance,public_distance_1_x,public_distance_2_x,public_use,public_type_1,public_type_2,public_type_3,public_type_4,public_type_4_x,public_wait,public_importance,pev_compare_cost,pev_cost_importance,pev_incentives_1,pev_incentives_2,pev_incentives_3,pev_incentives_4,pev_incentives_5,pev_incentives_6,pev_incentives_7,pev_experience,pev_recommend,pev_confidence,pev_confidence_4_x
191151,2,2018,CHRYSLER,,3,11,250, ,33,30, ,1,1,0,0,1,0,0,0,0, , , , , , , , , , ,1, , ,1, , , , ,1, , ,1, , , , ,0, , ,0, , , , ,4,1, ,1500,2,3,2,4,2,2,4,5,1,1,3,29,2,5,5,3,3,3,1,3,3, , , , , , , , ,1, , , , , , , , , , ,2,2,3,6,5,5,6,6,7,5,3,3, , 
191156,3,2017,TESLA,,5,3,50, , ,270,4,2, , , , , , , , , ,0,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,4,1,1, ,25,0,1,1,0, ,1,5,1,5,1,1,1,1,5,1,1,7,5, , 
191181,2,2018,FORD,,3,3,400, ,67,15, ,1,1,0,0,1,0,0,0,0, , , , , , , , , , ,1, , ,1, , , , ,0, , ,0, , , , ,0, , ,0, , , , ,4,6, , ,1,1,1,5,1,1,1,4,1,2,3, , ,3,5,1,3,3,1,4,4,1, , ,1, , ,3,3,3,1,2, ,0, , , , , , ,3,1,4,5,5,5,2,5,6,5,5,5, , 
191187,2,2017,TOYOTA,,3,2, ,250,75,25, ,1,1,0,0,0,0,0,1,0, , , , , , , , , , ,0, , , , , ,0, ,1, , , , , ,1, ,0, , , , , ,0, ,1,1, ,900,1,1,1,3,1,1,1,3,1,1,3, , ,5,1, , , , , , , , , , , , , , ,3,1,7, ,4,0,1,0,0, ,2,5,1,5,5,5,5,5,5,5,5,4,4, , 
191202,1,2018,TESLA,,5,3,140, , ,325,3,1,1,0,0,0,0,0,0,0, , , , , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , , ,4, , ,1,2,3,3,1,1,2,2,1,2,3,15,3,3,1, , , , , , , , , , , , , , ,3,1,2, ,0, , , , , , ,3,2,3,3,4,4,1,2,3,1,5,4, , 
191207,1,2017,BMW,,5,1,150, , ,124,3,1,1,0,0,1,0,0,0,0, , , , , , , , , , ,1, , ,1, , , , ,1, , ,1, , , , ,0, , ,0, , , , ,1,6, , ,2,1,1,3,1,1,1,2,1,2,3,1,3,4,5,3,3,3,2,3,2, , , ,1, ,1,1,1,3,1,3, ,0, , , , , , ,1,1,2,1,2,2,3,1,1,1,7,4,1, 
191211,2,2018,TESLA,,5,3,50, , ,298,2,1,1,0,0,0,0,0,0,0, , , , , , , , , , ,0, , , , , , , ,1, , , , , , , ,0, , , , , , , , ,1, ,1500,1,1,1,2,1,1,1,2,1,1,3, , ,4,2,4,4,1,1,4,4, , ,1,1, , ,1,1,3,1,5, ,0, , , , , , ,3,1,3,3,4,4,1,1,1,2,7,5,2, 
191602,3,2012,TOYOTA,,3,3,150, ,80,15, ,1,1,0,0,0,0,0,0,0, , , , , , , , , , ,1, , , , , , , ,0, , , , , , , ,0, , , , , , , , ,6, , ,2,2,2,4,1,2,2,4,3, ,4, , ,4,5,3,3,3,3,3,3, , , , , , , , ,1, , , , , , , , , , ,1,3,2,4,4,4,4,1,1,5,7,3, , 
191224,2,2017,HONDA,,5,3,120, , ,80,3,1,1,0,0,1,0,0,0,0, , , , , , , , , , ,1, , ,1, , , , ,1, , ,1, , , , ,0, , ,0, , , , ,4,1, ,50,2,2,5,5,1,2,3,5,1,2,2,14,3,4,6,1,3,2,1,3,1,1, ,4,1, ,2,4,3,3,1,5, ,3,0,0,1,0, ,2,3,1,3,4,3,5,2,4,1,5,7,5, , 
191218,2,2012,CHEVROLET,,3,2, ,800,2,40, ,1,1,0,0,0,0,0,0,0, , , , , , , , , , ,1, , , , , , , ,1, , , , , , , ,0, , , , , , , , ,2, ,300,3,3,3,5,2,3,3,5,1,2,3,29,2,5,3,2,3,3,3,3,3, , , , , , , , ,3,1,2, ,2,0,1,0,0, ,3,3,1,3,2,4,4,3,1,1,2,7,5,1, 
